requestDate,requestSize,request,responseDate,responseSize,totalResults
2003-03-04 06:54:42.111000,158,pre,2003-03-04 06:54:42.135000,67941,413
2003-03-04 11:17:31.362000,170,ondansetron HCl,2003-03-04 11:17:31.368000,11523,7
2003-03-04 11:17:40.814000,166,Adderall XR,2003-03-04 11:17:40.826000,6300,1
2003-03-04 11:14:48.341000,160,zofr,2003-03-04 11:14:48.347000,5284,3
2003-03-04 10:45:00.491000,162,Vyvanse,2003-03-04 10:45:00.511000,12068,2
2003-03-04 11:10:40.746000,162,haloper,2003-03-04 11:10:40.754000,16241,9
2003-03-04 10:28:52.287000,161,aceta,2003-03-04 10:28:52.342000,134100,426
2003-03-04 10:24:45.521000,164,symbicort,2003-03-04 10:24:45.528000,2012,1
2003-03-04 10:25:08.464000,175,tylenol suppository,2003-03-04 10:25:08.469000,41,0
2003-03-04 10:25:16.714000,159,ace,2003-03-04 10:25:16.761000,135179,501
2003-03-04 10:25:18.363000,161,aceta,2003-03-04 10:25:18.416000,134100,426
2003-03-04 10:23:49.763000,172,acetaminophen su,2003-03-04 10:23:49.771000,2331,2
2003-03-04 10:24:44.170000,158,sym,2003-03-04 10:24:44.195000,42122,33
2003-03-04 10:25:03.032000,168,tylenol supp,2003-03-04 10:25:03.038000,41,0
2003-03-04 10:25:06.280000,175,tylenol suppositoey,2003-03-04 10:25:06.285000,41,0
2003-03-04 10:29:31.820000,162,lorazep,2003-03-04 10:29:31.836000,16475,8
2003-03-04 10:55:15.309000,159,Addr,2003-03-04 10:55:15.316000,41,0
2003-03-04 11:03:03.797000,163,morphine,2003-03-04 11:03:03.855000,91613,28
2003-03-04 11:11:09.575000,162,rexulti,2003-03-04 11:11:09.583000,5363,1
2003-03-04 11:12:20.082000,164,buspirone,2003-03-04 11:12:20.087000,5631,1
2003-03-04 11:20:45.189000,158,eff,2003-03-04 11:20:45.196000,10683,5
2003-03-04 11:20:40.037000,160,ibup,2003-03-04 11:20:40.056000,68036,51
2003-03-04 11:20:45.863000,159,effe,2003-03-04 11:20:45.870000,8633,4
2003-03-04 09:58:46.955000,166,hydromorpho,2003-03-04 09:58:47.014000,63630,22
2003-03-04 09:59:02.501000,170,hydromorphone (,2003-03-04 09:59:02.556000,63630,22
2003-03-04 10:01:26.290000,161,ms con,2003-03-04 10:01:26.315000,4737,1
2003-03-04 10:00:16.821000,157,tl,2003-03-04 10:00:16.829000,8025,8
2003-03-04 09:37:49.059000,160,ator,2003-03-04 09:37:49.067000,27052,4
2003-03-04 10:04:02.593000,176,ipratropium-albuterol,2003-03-04 10:04:02.598000,2360,2
2003-03-04 09:42:36.645000,161,augme,2003-03-04 09:42:36.652000,12836,9
