,request
2003-02-28 16:40:34.369,methylphenidate hcl
2003-02-28 16:40:47.498,loraze
2003-02-28 16:41:32.548,taytulla
2003-02-28 16:41:45.374,adderall xr
2003-02-28 16:41:55.008,ondans
2003-02-28 16:42:27.273,dulc
2003-02-28 16:42:32.286,hydromorphone
2003-02-28 16:42:35.826,gaba
2003-02-28 16:42:47.344,neurontin
2003-02-28 16:42:53.495,buspirone
2003-02-28 16:43:05.599,ergocalciferol (vit
2003-02-28 16:43:10.523,kefle
2003-02-28 16:43:10.916,adderall xr
2003-02-28 16:43:11.630,fentanyl
2003-02-28 16:43:43.376,cycloben
2003-02-28 16:43:50.403,ergo
2003-02-28 16:43:57.750,folic acid
2003-02-28 16:44:16.703,albuter
2003-02-28 16:44:37.744,neurontin
2003-02-28 16:44:50.992,cyclobenzaprine
2003-02-28 16:44:59.978,wellbutrin sr
2003-02-28 16:45:05.199,ergocalciferol (vitamin d2)
2003-02-28 16:45:34.860,lactulose
2003-02-28 16:45:46.053,oxycodone
2003-02-28 16:45:46.202,cyanocobalamin (vitamin b-12)
2003-02-28 16:45:48.963,simvastatin
2003-02-28 16:45:59.036,hydroxyzine hcl
2003-02-28 16:46:02.938,xanax
2003-02-28 16:46:04.177,lexapro
2003-02-28 16:46:07.917,ceph
2003-02-28 16:46:11.072,tamsulosen
2003-02-28 16:46:20.557,trazodone
2003-02-28 16:46:25.129,hydroxyzine hcl
2003-02-28 16:46:38.771,aripiprazole
2003-02-28 16:46:44.479,farxi
2003-02-28 16:46:47.870,trazodone
2003-02-28 16:46:55.353,adder
2003-02-28 16:46:56.410,levalbut
2003-02-28 16:47:04.005,risperdal
2003-02-28 16:47:17.502,buspirone
2003-02-28 16:47:21.654,methotrexate sodium
2003-02-28 16:47:32.971,fetz
2003-02-28 16:47:35.346,oxycodone
2003-02-28 16:47:41.638,plaquenil
2003-02-28 16:47:46.788,dextroamphetamine
2003-02-28 16:47:50.318,acetaminophen-codeine
2003-02-28 16:47:50.320,zanaflex
2003-02-28 16:48:10.067,meloxicam
